"tx_hn_ind_postal_code","d_completed","cd_regio"
"3840","2020-04-06","VLA"
"3990","2020-04-06","VLA"
"1080","2020-04-06","BRU"
"2020","2020-04-06","VLA"
"3600","2020-04-06","VLA"
"1770","2020-04-06","VLA"
"8980","2020-04-06","VLA"
"3040","2020-04-06","VLA"
"1760","2020-04-06","VLA"
"8750","2020-04-06","VLA"
"8430","2020-04-06","VLA"
"8530","2020-04-06","VLA"
"3271","2020-04-06","VLA"
"9200","2020-04-06","VLA"
"1755","2020-04-06","VLA"
"3930","2020-04-06","VLA"
"8511","2020-04-06","VLA"
"9300","2020-04-06","VLA"
"3640","2020-04-06","VLA"
"2960","2020-04-06","VLA"
"1853","2020-04-06","VLA"
"1750","2020-04-06","VLA"
"3900","2020-04-06","VLA"
"3401","2020-04-06","VLA"
"1740","2020-04-06","VLA"
"8540","2020-04-06","VLA"
"9506","2020-04-06","VLA"
"8480","2020-04-06","VLA"
"2980","2020-04-06","VLA"
"9140","2020-04-06","VLA"
"1755","2020-04-06","VLA"
"2870","2020-04-06","VLA"
"9032","2020-04-06","VLA"
"2950","2020-04-06","VLA"
"3220","2020-04-06","VLA"
"9280","2020-04-06","VLA"
"1800","2020-04-06","VLA"
"3732","2020-04-06","VLA"
"3460","2020-04-06","VLA"
"8570","2020-04-06","VLA"
"1742","2020-04-06","VLA"
"2620","2020-04-06","VLA"
"2470","2020-04-06","VLA"
"8930","2020-04-06","VLA"
"1501","2020-04-06","VLA"
"8581","2020-04-06","VLA"
"8020","2020-04-06","VLA"
"1800","2020-04-06","VLA"
"2930","2020-04-06","VLA"
"1070","2020-04-06","BRU"
"9420","2020-04-06","VLA"
"3010","2020-04-06","VLA"
"9050","2020-04-06","VLA"
"3545","2020-04-06","VLA"
"9400","2020-04-06","VLA"
"1790","2020-04-06","VLA"
"9940","2020-04-06","VLA"
"3650","2020-04-06","VLA"
"9402","2020-04-06","VLA"
"2440","2020-04-06","VLA"
"3270","2020-04-06","VLA"
"2320","2020-04-06","VLA"
"8500","2020-04-06","VLA"
"3980","2020-04-06","VLA"
"3472","2020-04-06","VLA"
"8810","2020-04-06","VLA"
"8870","2020-04-06","VLA"
"3300","2020-04-06","VLA"
"8020","2020-04-06","VLA"
"3454","2020-04-06","VLA"
"3454","2020-04-06","VLA"
"3440","2020-04-06","VLA"
"3800","2020-04-06","VLA"
"9200","2020-04-06","VLA"
"1000","2020-04-06","BRU"
"8780","2020-04-06","VLA"
"1180","2020-04-06","BRU"
"8970","2020-04-06","VLA"
"3500","2020-04-06","VLA"
"2110","2020-04-06","VLA"
"3220","2020-04-06","VLA"
"3630","2020-04-06","VLA"
"2500","2020-04-06","VLA"
"8980","2020-04-06","VLA"
"2627","2020-04-06","VLA"
"9290","2020-04-06","VLA"
"1160","2020-04-07","BRU"
"9240","2020-04-07","VLA"
"3450","2020-04-07","VLA"
"1080","2020-04-07","BRU"
"2235","2020-04-07","VLA"
"8830","2020-04-07","VLA"
"9255","2020-04-07","VLA"
"2060","2020-04-07","VLA"
"2980","2020-04-07","VLA"
"3990","2020-04-07","VLA"
"9450","2020-04-07","VLA"
"1800","2020-04-07","VLA"
"3583","2020-04-07","VLA"
"3040","2020-04-07","VLA"
"1070","2020-04-07","BRU"
"8560","2020-04-07","VLA"
"3530","2020-04-07","VLA"
"8310","2020-04-07","VLA"
"8970","2020-04-07","VLA"
"3000","2020-04-07","VLA"
"8750","2020-04-07","VLA"
"3471","2020-04-07","VLA"
"2970","2020-04-07","VLA"
"9420","2020-04-07","VLA"
"9320","2020-04-07","VLA"
"8870","2020-04-07","VLA"
"9030","2020-04-07","VLA"
"9290","2020-04-07","VLA"
"8930","2020-04-07","VLA"
"1090","2020-04-07","BRU"
"2431","2020-04-07","VLA"
"2540","2020-04-07","VLA"
"9120","2020-04-07","VLA"
"1070","2020-04-07","BRU"
"1570","2020-04-07","VLA"
"3080","2020-04-07","VLA"
"2650","2020-04-07","VLA"
"2850","2020-04-07","VLA"
"3600","2020-04-07","VLA"
"9070","2020-04-07","VLA"
"8800","2020-04-07","VLA"
"3550","2020-04-07","VLA"
"8647","2020-04-07","VLA"
"1150","2020-04-07","BRU"
"1731","2020-04-07","VLA"
"3960","2020-04-07","VLA"
"1080","2020-04-07","BRU"
"8510","2020-04-07","VLA"
"9400","2020-04-07","VLA"
"1820","2020-04-07","VLA"
"1820","2020-04-07","VLA"
"3012","2020-04-07","VLA"
"3010","2020-04-07","VLA"
"8890","2020-04-08","VLA"
"8531","2020-04-08","VLA"
"2440","2020-04-08","VLA"
"8780","2020-04-08","VLA"
"8670","2020-04-08","VLA"
"8560","2020-04-08","VLA"
"2560","2020-04-08","VLA"
"8370","2020-04-08","VLA"
"2450","2020-04-08","VLA"
"1082","2020-04-08","BRU"
"3140","2020-04-08","VLA"
"1745","2020-04-08","VLA"
"9255","2020-04-08","VLA"
"8760","2020-04-08","VLA"
"8760","2020-04-08","VLA"
